2012-05-18 17:53:08, 192.168.0.202, jinpeng, IM, 密码验证错误! (Error 20002)
2012-05-31 11:39:28, 192.168.0.136, gxjinpeng, IM, 帐号不存在! (Error 20001)
2012-06-01 10:40:09, 192.168.0.200, jxjinpeng1, IM, 帐号不存在! (Error 20001)
2012-06-01 10:42:04, 192.168.0.200, ncjinpeng1, IM, 帐号不存在! (Error 20001)
2012-06-04 10:08:39, 192.168.0.202, jxjinpeng@jx, IM, 网络断开！ (Error 10004)
2012-06-04 10:08:39, 192.168.0.202, jxjinpeng@jx, IM, 网络断开！ (Error 10004)
2012-06-08 17:56:54, 192.168.0.202, jxjinpeng, IM, 密码验证错误! (Error 20002)
2012-06-13 15:12:31, 192.168.0.202, jxjinpeng@jx, IM, 网络断开！ (Error 10004)
2012-06-13 15:12:31, 192.168.0.202, jxjinpeng@jx, IM, 网络断开！ (Error 10004)
2012-06-13 15:33:11, 192.168.0.202, jxjinpeng@jx, IM, 网络断开！ (Error 10004)
2012-06-13 15:33:11, 192.168.0.202, jxjinpeng@jx, IM, 网络断开！ (Error 10004)
2012-06-13 16:55:03, 192.168.0.202, jxjinpeng@jx, IM, 网络断开！ (Error 10004)
2012-06-13 16:55:03, 192.168.0.202, jxjinpeng@jx, IM, 网络断开！ (Error 10004)
2012-07-26 10:49:55, 192.168.0.202, jxjinpeng@jx, IM, 网络断开！ (Error 10004)
2012-07-26 10:49:55, 192.168.0.202, jxjinpeng@jx, IM, 网络断开！ (Error 10004)
2012-08-03 09:50:56, 192.168.0.136, jxjinpeng, IM, 帐号不存在! (Error 20001)
2012-08-06 09:37:16, 192.168.0.200, ncjinpeng@jx, IM, 帐号不存在! (Error 20001)
2012-08-30 16:02:44, 192.168.0.202, jxjinpeng@jx, IM, 同帐户的用户在其它地方登录! (Error 20003)
2012-09-07 18:26:09, www.avms.com.cn, jinpeng, IM, 密码验证错误! (Error 20002)
2012-09-10 09:39:04, 192.168.0.202, jx0007, IM, 同帐户的用户在其它地方登录! (Error 20003)
2012-09-10 10:22:51, 192.168.0.202, jx0010, IM, 密码验证错误! (Error 20002)
2012-09-10 10:22:52, 192.168.0.202, jx0010, IM, 密码验证错误! (Error 20002)
2012-09-10 12:15:57, 192.168.0.202, jx0010, IM, 同帐户的用户在其它地方登录! (Error 20003)
2012-09-10 12:23:18, 192.168.0.202, jx0010, IM, 同帐户的用户在其它地方登录! (Error 20003)
2012-09-10 18:10:11, 192.168.0.202, jx0020, IM, 同帐户的用户在其它地方登录! (Error 20003)
2012-09-10 18:10:19, 192.168.0.202, jx0010, IM, 同帐户的用户在其它地方登录! (Error 20003)
2012-10-26 13:42:23, 192.168.0.202, jxjinpeng@jx, IM, 密码验证错误! (Error 20002)
2013-03-05 11:53:35, 192.168.0.202, jxjinpeng@jx, IM, 密码验证错误! (Error 20002)
2013-04-22 10:20:47, 192.168.0.202, jxguanlijuang, IM, 帐号不存在! (Error 20001)
2013-04-23 10:32:29, 192.168.0.202, jxguanlijuan, IM, 同帐户的用户在其它地方登录! (Error 20003)
2013-04-24 09:58:59, 192.168.0.202, jxjinpeng, IM, 同帐户的用户在其它地方登录! (Error 20003)
2013-04-24 09:59:42, 192.168.0.202, jxguanlijuang, IM, 帐号不存在! (Error 20001)
2013-05-17 15:51:15, 192.168.0.202, jxguanlijuan, IM, 同帐户的用户在其它地方登录! (Error 20003)
2013-07-26 11:55:11, 192.168.0.202, jxjinpeng, IM, 同帐户的用户在其它地方登录! (Error 20003)
2013-07-26 11:55:26, 192.168.0.202, jxzuohe, IM, 同帐户的用户在其它地方登录! (Error 20003)
2013-07-26 11:56:17, 192.168.0.202, jxzuohe1, IM, 帐号不存在! (Error 20001)
